Elevation,Transect,Quadrat,Species,Cover,Collection,Long_Form,Photos
850,A,18,Nieblavagans,T,T850_A17.1,,
850,A,18,Sclerophyton1,T,T800_A1.10,,
850,A,18,Sclerophyton2,1,T800_A3.2,,
850,A,18,YellowRhizocarpon,T,T650_A1.1,,
850,A,19,Arctothelium,T,T800_A1.8,,
850,A,19,Buellia1,T,T800_A1.6,,
850,A,19,Candelariella1,T,T800_A2.1,,
850,A,19,Niebla4,T,T850_A6.1,,
850,A,19,Nieblavagans,T,T850_A17.1,,
850,A,19,Ramalina,T,T800_A7.1,,
850,A,19,Sclerophyton2,2,T800_A3.2,,
850,A,19,TinyGreyRhizocarpon,T,T850_A14.2,,
850,A,20,Arctothelium,T,T800_A1.8,,
850,A,20,Buellia1,T,T800_A1.6,,
850,A,20,Nieblavagans,T,T850_A17.1,,
850,A,20,Ramalina,T,T800_A7.1,,
850,A,20,Sclerophyton1,2,T800_A1.10,,
850,A,20,YellowRhizocarpon,T,T650_A1.1,,
,,,,,,,
700,B,1,Caljorgensis,T,TB700.1.1,Caloplaca jorgensis,
700,B,1,LirRhizocarpon,6,TB700.1.2,Lirellate Rhizocarpon,
700,B,1,ManilaRoccellina,4,TB700.1.4,"Manila Roccellina, pruinose punctiform lirellae when young",
700,B,1,WhiteBlackLecideateRoccellina,T,TB700.1.5,"White, black lecideine ring elevated apothecia, elongated paothecia, light pruina on disk",
700,B,1,BuellaJorgensis,T,TB700.1.6,"Yellow, black-bluish convex apos, aereloate, no prothallus",
700,B,1,ManilaSegmentedApoHyperbullateRoccellina,T,TB700.1.7,Manila segmented sunken apothecia hyperbullata Roccellina,
700,B,1,RamalinaSolid,T,TB700.1.8,Ramalina solid few pseudocypellae,
700,B,1,MicrobullateShitBrownBuellia,T,TB700.1.9,microbullate shit brown Buellia,
700,B,1,MinksiaSax,T,TB700.1.10,Minksia on rock,
700,B,1,SorediateTipRamalina,T,TB700.1.11,sorediate tip Ramalina small narrow,
700,B,1,Chrysothrix,T,TB700.1.12,Chrysothrix,
700,B,1,ApotheciateCerebriformis,1,TB700.1.13,Apotheciate cerebriformis,
700,B,1,MinksiaTwig,T,TB700.1.11,Minksia on twig,
700,B,1,VapoWhiteRidged,T,TB700.1.14,very apotheciate crenulate white ridged,
700,B,2,HetFoll,4,TB700.2.1,Heterodermia folmanii sorediate  some laminal ciliae,
700,B,2,Chrysothrix,1,TB700.1.12,,
700,B,2,AspiciliaStrigata,T,TB700.2.2,Aspicilia strigata shiny brown aerolaes epinecral black prothallus,
700,B,2,BuellaJorgensis,3,TB700.1.6,,
700,B,2,XanthoriaAscendens,1,TB700.2.3,Xanthoria ascendens,
700,B,2,WhiteStipBuellia,2,TB700.2.4,White erumpent-stipitate apothecia Buellia,
700,B,2,FineFlattenedNiebla,T,TB700.2.5,Niebla nashii flattened finely dissected,
700,B,2,NieblaGranulans,2,TB700.2.6,Niebla granulans terete fine,
700,B,2,MinksiaSax,T,TB700.1.10,,
700,B,2,ManilaSegmentedApoHyperbullateRoccellina,T,TB700.1.7,,
700,B,2,SorediateAmygdalaria,12,TB700.2.7,sorediate Amygdalaria,
700,B,2,BrownSmoothAspicilia,T,TB700.2.8,brown smooth rimose Aspicilia shitsmear,
700,B,2,BlackRugosePlacynthiella,T,TB700.2.9,Black rugose black apothecia lecideine,
700,B,2,Pentagenella,T,TB700.2.10,Pentagenella gracillima,
700,B,2,LirRhizocarpon,5,TB700.1.2,,DSC3979
700,B,2,HetLeucomelos,T,TB700.2.11,Heterodermia leucomelos,
