Species,Collection,Collection2,Specimen?,TLC?,Video?,Ref_Photo,Notes
HyperBranchedNiebla,TB800.3.1,TB_800_3_1,yes,yes,yes,,
RoccCereb,TB800.3.2,TB_800_3_2,yes,yes,yes,,
GreyRhizoStipApo,TB800.3.3,TB_800_3_3,yes,yes,too little,,
RamalinaUsnea,TB800.4.1,TB_800_4_1,yes,yes,yes,,
BrownSmearFertile,TB800.4.2,TB_800_4_2,yes,yes,yes,,
NieblaCeruchis,TB800.4.3,TB_800_4_3,yes,yes,yes,,
Pentagenella,TB800.4.4,TB_800_4_4,yes,yes,fragmented,,
Arctothelium,TB800.5.1,TB_800_5_1,yes,too little,yes,,
AcarosporaBull,TB800.6.1,TB_800_6_1,yes,yes,yes,,
YrhizoSor,TB800.6.2,TB_800_6_2,yes,yes,yes,,
SandOpegrapha,TB800.9.1,TB_800_9_1,yes,yes,too little,,
BluePruApoTerr,TB800.9.2,TB_800_9_2,yes,yes,yes,,
ManilaRoccPrui,TB800.9.3,TB_800_9_3,yes,yes,yes,,
