"","Species","Transect","Collection","Elevation","Quadrat","Collection2","Cover","Time_Surface","Time_Absorption","Angle","N","SpN","Genus","Order","Family","Form","Photobiont","Number","Sample","Mass",".N","d15N",".C","d13C","Notes"
"296","TanBullateApo","B","TB800.1.7","800","3","TB_800_1_7","1",1,4,110,142,111,"Crustose","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"297","TanBullateApo","B","TB800.1.7","800","4","TB_800_1_7","5",1,4,110,142,111,"Crustose","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"298","TanBullateApo","B","TB800.1.7","800","5","TB_800_1_7","6",1,4,110,142,111,"Crustose","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"299","TanBullateApo","B","TB800.1.7","800","6","TB_800_1_7","2",1,4,110,142,111,"Crustose","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"300","TanBullateApo","B","TB800.1.7","800","7","TB_800_1_7","8",1,4,110,142,111,"Crustose","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"301","TanBullateApo","B","TB800.1.7","800","9","TB_800_1_7","5",1,4,110,142,111,"Crustose","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"302","TanCrustRocc","B","TB800.10.3","800","10","TB_800_10_3","T",1,70,120,158,112,"Roccellina","Arthoniales","","Sub-Fruticose","Trentepohlia","3",NA,NA,NA,NA,NA,NA,""
"303","TinyGrayRhizo","B","TB700.3.4","700","10","TB_700_3_4","T",1,22,120,107,114,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"304","TinyGrayRhizo","B","TB700.3.4","700","3","TB_700_3_4","T",1,22,120,107,114,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia","4",NA,NA,NA,NA,NA,NA,""
"305","TinyGrayRhizo","B","TB700.3.4","700","4","TB_700_3_4","T",1,22,120,107,114,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"306","TinyGrayRhizo","B","TB700.3.4","700","8","TB_700_3_4","T",1,22,120,107,114,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"307","TinyGrayRhizocarpon","B","TB700.3.4","700","10","TB_700_3_4","T",1,22,120,113,115,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"308","TinyGrayRhizocarpon","B","TB700.3.4","700","3","TB_700_3_4","T",1,22,120,113,115,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia","4",NA,NA,NA,NA,NA,NA,""
"309","TinyGrayRhizocarpon","B","TB700.3.4","700","4","TB_700_3_4","T",1,22,120,113,115,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"310","TinyGrayRhizocarpon","B","TB700.3.4","700","8","TB_700_3_4","T",1,22,120,113,115,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"311","TinyOliveRhizo","B","TB700.5.2","700","5","TB_700_5_2","T",1,65,75,117,117,"Rhizocarpon","Rhizocarpales","","Crustose","Trebouxia","2",NA,NA,NA,NA,NA,NA,""
"312","Trentepohlia","B","no",NA,NA,"coll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"313","UsneaRubicunda","B","TB700.10.2","700","10","TB_700_10_2","T",NA,NA,NA,68,119,"Usnea","Lecanorales","","Fruticose","Trebouxia","2",NA,NA,NA,NA,NA,NA,"Just a few flecks of sample"
"314","VapoWhiteRidged","B","TB700.1.14","700","1","TB_700_1_14","T",11,70,105,90,120,"Roccellina","Arthoniales","","Sub-Fruticose","Trentepohlia","14",NA,NA,NA,NA,NA,NA,""
"315","WhiteBlackLecideateRoccellina","B","TB700.1.5","700","1","TB_700_1_5","T",1.5,90,120,80,121,"Roccellina","Arthoniales","","Sub-Fruticose","Trentepohlia","5",NA,NA,NA,NA,NA,NA,""
