"","Elevation","Species","x"
"175",800,"Sclerophyton2",2
"176",850,"Sclerophyton2",4
"177",550,"TerricolousWhiteCrust",2
"178",600,"TerricolousWhiteCrust",1
"179",650,"TerricolousWhiteCrust",6
"180",700,"TerricolousWhiteCrust",16
"181",750,"TerricolousWhiteCrust",17
"182",800,"TerricolousWhiteCrust",15
"183",600,"TinyGreyRhizocarpon",1
"184",850,"TinyGreyRhizocarpon",2
"185",800,"UsneaRubicunda",1
"186",700,"WhiteBuellia2",1
"187",750,"WhiteBuellia2",2
"188",550,"WhiteFoam",2
"189",600,"WhiteRhizoPara",1
"190",850,"WhiteRhizoPara",2
"191",850,"WhiteSorAreol",2
"192",550,"Xanthoria",2
"193",600,"Xanthoria",1
"194",650,"Xanthoria",6
"195",700,"Xanthoria",8
"196",750,"Xanthoria",10
"197",800,"Xanthoria",7
"198",550,"YellowConvexBuellia",1
"199",700,"YellowConvexBuellia",5
"200",750,"YellowConvexBuellia",1
"201",800,"YellowCrust1",4
"202",450,"YellowRhizocarpon",1
"203",500,"YellowRhizocarpon",6
"204",550,"YellowRhizocarpon",3
"205",600,"YellowRhizocarpon",5
"206",650,"YellowRhizocarpon",11
"207",700,"YellowRhizocarpon",17
"208",750,"YellowRhizocarpon",7
"209",850,"YellowRhizocarpon",12
"210",500,"YellowRhizocarpon2",1
"211",550,"YellowRhizocarpon2",1
